categoria,servicio,nombre_nuevo,nivel_actual,nivel_nuevo,accion,fuente,nota
Assembly,Baby-Proofing & Safety Installation,,L2,L1,L2 -> L1,PDF,
Assembly,Baseboard & Crown Moulding Installation,,L2,L1,L2 -> L1,PDF,
Assembly,Bed Frame Assembly,,L1,L1,sin cambio,PDF,
Assembly,Blinds & Curtain Rod Installation,,L2,L1,L2 -> L1,PDF,
Assembly,Bookshelf Assembly,,L1,L1,sin cambio,PDF,
Assembly,Closet Organizer Assembly,,L1,L1,sin cambio,PDF,
Assembly,Desk Assembly,,L1,L1,sin cambio,PDF,
Assembly,Door Adjustment & Hardware Replacement,,L2,L1,L2 -> L1,PDF,
Assembly,Exercise Equipment Assembly,,L1,L1,sin cambio,PDF,
Assembly,Exterior Door Replacement (Entry),,L3,L1,L3 -> L1,REVISAR,"ACEPTADO POR DEFECTO (manda el PDF) — Hoy L3. Afecta envolvente del edificio, puede requerir permiso. ¿Confirmas L1 o lo subo a L2?"
Assembly,Fence Board Replacement,,L2,L1,L2 -> L1,PDF,
Assembly,Floating Shelf Installation,,L2,L1,L2 -> L1,PROPUESTA,No está en el PDF. Propongo L1 (igual que el resto de montaje).
Assembly,Garage Door Replacement,,L3,L1,L3 -> L1,REVISAR,"ACEPTADO POR DEFECTO (manda el PDF) — Hoy L3. Puerta de garaje = resortes bajo tensión, riesgo de lesión. ¿Confirmas L1 o L2?"
Assembly,Garage Shelving Installation,,L2,L1,L2 -> L1,PDF,
Assembly,IKEA Furniture Assembly,,L1,L1,sin cambio,PDF,
Assembly,Interior Door Installation (Pre-Hung),,L2,L1,L2 -> L1,PDF,
Assembly,Kitchen Cabinet Installation,,L3,L1,L3 -> L1,REVISAR,ACEPTADO POR DEFECTO (manda el PDF) — Hoy L3. En el PDF aparece DUPLICADO en Assembly L1. ¿Confirmas L1?
Assembly,Outdoor Furniture Assembly,,L1,L1,sin cambio,PDF,
Assembly,TV Wall Mount Setup (No Wiring),,L1,L1,sin cambio,PDF,
Assembly,TV Wall Mount with Concealed Wiring,,L2,L1,L2 -> L1,PDF,
Assembly,Weatherstripping & Caulking (Doors/Windows),,L2,L1,L2 -> L1,PDF,
Assembly,Window Replacement,,L3,L1,L3 -> L1,REVISAR,"ACEPTADO POR DEFECTO (manda el PDF) — Hoy L3. Afecta envolvente, suele requerir permiso. ¿Confirmas L1 o L2?"
Assembly,Appliance Installation (Non-Gas),,L2,L2,sin cambio,PDF,Cert: Plumber 306A y/o Electricista 309A/309C. El DOCX pide PARTIRLO por tipo de conexión (agua / gas / eléctrico fijo).
Assembly,Emergency Door / Lock Repair,Door / Lock Repair,L4,L2,L4 -> L2,PDF,El PDF lo recupera como Assembly L2. Cert: Locksmith (259L). Renombrar sin 'Emergency'.
Assembly,Structural Beam Installation,,L3,L2,L3 -> L2,PDF,Cert: Building Permit + BCIN Designer
Assembly,Emergency Window Board-Up,,L4,,DESACTIVAR (L4),PDF (L4 eliminado),
Cleaning,Garage Cleanup & Organization,,L1,L0,L1 -> L0,PDF,
Cleaning,Move-Out Cleaning,,L1,L0,L1 -> L0,PDF,
Cleaning,Oven & Stovetop Cleaning,,L1,L0,L1 -> L0,PDF,
Cleaning,Refrigerator Deep Cleaning,,L1,L0,L1 -> L0,PDF,
Cleaning,Standard Residential Cleaning,,L1,L0,L1 -> L0,PROPUESTA,No está en el PDF. Propongo L0 (equivale a las otras limpiezas básicas).
Cleaning,Window Cleaning (Interior & Ground Level Exterior),,L1,L0,L1 -> L0,PDF,El PDF lo parte en 'Window Cleaning (Ground floor)' y '(interior)'. ¿Separar en 2 servicios o dejar 1?
Cleaning,Bathroom Deep Cleaning,,L1,L1,sin cambio,PDF,
Cleaning,Carpet Steam Cleaning,,L1,L1,sin cambio,PDF,
Cleaning,Carpet Vacuuming & Spot Treatment,,L1,L1,sin cambio,PDF,
Cleaning,Kitchen Deep Cleaning,,L1,L1,sin cambio,PDF,
Cleaning,Post-Construction Cleaning (Light),,L1,L1,sin cambio,PDF,
Cleaning,Asbestos Testing & Abatement,,L3,L3,sin cambio,PDF,Cert: Ontario Asbestos Worker Training
Cleaning,Biohazard Cleanup,,L3,L3,sin cambio,PDF,Cert: WHMIS + biohazard / bloodborne-pathogen training
Cleaning,Lead Paint Remediation,,L2,L3,L2 -> L3,CLIENTE,MOVIDO A L3 por el cliente. El proveedor debe completar formación reconocida de lead-safe painting / lead remediation y seguir procedimientos de contención y seguridad.
Cleaning,Mold Remediation,,L3,L3,sin cambio,PDF,Cert: WHMIS + mold remediation training (IICRC AMRT)
Cleaning,Emergency Fire Damage Board-Up,,L4,,DESACTIVAR (L4),PDF (L4 eliminado),
Cleaning,Emergency Flood Water Extraction,,L4,,DESACTIVAR (L4),PDF (L4 eliminado),
Electrical,Smart Home Hub Setup & Configuration,,L2,L1,L2 -> L1,PROPUESTA,No está en el PDF. Bajo voltaje / sin cableado. Propongo L1.
Electrical,Under-Cabinet LED Lighting,,L2,L1,L2 -> L1,PDF,PDF: 'No wiring' -> scope sin cableado fijo.
Electrical,Ceiling Fan Installation (Existing Box),,L2,L2,sin cambio,PDF,Cert: ECRA/ESA LEC + Electricista 309A/309C
Electrical,EV Charger Installation (Level 2),,L3,L2,L3 -> L2,PDF,Cert: ECRA/ESA LEC + Electricista 309A/309C
Electrical,Home Security System Hardwired Installation,,L3,L2,L3 -> L2,PROPUESTA,No está en el PDF. Propongo L2.
Electrical,Knob-and-Tube Wiring Replacement,,L3,L2,L3 -> L2,REVISAR,"ACEPTADO POR DEFECTO (manda el PDF) — El PDF lo baja de L3 a L2, pero es recableado completo de una casa antigua. Recomiendo mantenerlo en L3."
Electrical,Light Fixture Replacement,,L2,L2,sin cambio,PDF,Cert: ECRA/ESA LEC + Electricista 309A/309C
Electrical,Outlet & Switch Replacement,,L2,L2,sin cambio,PDF,Cert: ECRA/ESA LEC + Electricista 309A/309C
Electrical,Smart Doorbell & Camera Installation,,L2,L2,sin cambio,PDF,Cert: ninguna si es batería/enchufe/bajo voltaje; ESA LEC + 309A/309C si es cableado fijo.
Electrical,Smart Thermostat Installation,,L2,L2,sin cambio,PDF,Cert: ESA LEC + 309A/309C si es cableado fijo.
Electrical,Smoke & Carbon Monoxide Detector Installation,,L2,L2,sin cambio,PDF,Cert: ESA LEC + 309A/309C si es cableado fijo.
Electrical,Aluminum Wiring Remediation,,L3,L3,sin cambio,PDF,Cert: ECRA/ESA LEC + 309A/309C
Electrical,Electrical Panel Upgrade (100A to 200A),,L3,L3,sin cambio,PDF,Cert: ECRA/ESA LEC + 309A/309C
Electrical,Electrical Permit & ESA Inspection Coordination,,L3,L3,sin cambio,PROPUESTA,No está en el PDF. Propongo L3.
Electrical,Emergency Total Power Loss,Power Loss Diagnosis,L4,L3,L4 -> L3,PDF,El PDF lo recupera como Electrical L3 'Emergency Power Loss Diagnosis'. Renombrar a 'Power Loss Diagnosis'.
Electrical,GFCI Outlet Installation,,L2,L3,L2 -> L3,PDF,El PDF lo SUBE de L2 a L3 ('GFCI outlet installation (wiring)'). Cert: ECRA/ESA LEC + 309A/309C.
Electrical,Generator Installation (Standby),,L3,L3,sin cambio,PDF,Cert: ECRA/ESA LEC + 309A/309C
Electrical,Hot Tub / Pool Electrical Hookup,,L3,L3,sin cambio,PROPUESTA,No está en el PDF. Propongo L3 (ESA LEC + 309A).
Electrical,Outdoor Electrical Panel / Disconnect,,L3,L3,sin cambio,PDF,Cert: ECRA/ESA LEC + 309A/309C
Electrical,Recessed Lighting Installation (New Circuits),,L3,L3,sin cambio,PDF,Cert: ECRA/ESA LEC + 309A/309C
Electrical,Solar Panel Electrical Integration,,L3,L3,sin cambio,PDF,PDF lo llama 'Solar panel lighting Installation'. Cert: ECRA/ESA LEC + 309A/309C.
Electrical,Sub-Panel Installation,,L3,L3,sin cambio,PDF,Cert: ECRA/ESA LEC + 309A/309C
Electrical,Whole-House Rewiring,,L3,L3,sin cambio,PDF,Cert: ECRA/ESA LEC + 309A/309C
Electrical,Emergency Electrical Fire Damage Assessment,,L4,,DESACTIVAR (L4),PDF (L4 eliminado),
Electrical,Emergency Electrical Hazard Make-Safe,,L4,,DESACTIVAR (L4),PDF (L4 eliminado),
Electrical,Emergency Generator Hookup (Portable),,L4,,DESACTIVAR (L4),PDF (L4 eliminado),
Errands & Delivery,Dry Cleaning Pickup & Drop-Off,,L1,L0,L1 -> L0,PDF,
Errands & Delivery,Grocery Shopping,,L1,L0,L1 -> L0,PDF,
Errands & Delivery,Package Pickup & Delivery,,L1,L0,L1 -> L0,PDF,
Errands & Delivery,Prescription Pickup,,L1,L0,L1 -> L0,PDF,
Errands & Delivery,Return Item to Store,,L1,L0,L1 -> L0,PDF,
Errands & Delivery,Waiting in Line,,L1,L0,L1 -> L0,PDF,
Events,Balloon & Decoration Setup,,L1,L0,L1 -> L0,PDF,
Events,Event Serving Assistance,Event Service (No Food),L1,L0,L1 -> L0,PDF,El PDF lo PARTE EN 3: 'Event Service (no food)' L0 (este) + 2 servicios NUEVOS L2: alcohol (Smart Serve) y comida (Food Handler). Renombrar a 'Event Service (No Food)'.
Events,Event Teardown & Cleanup,,L1,L0,L1 -> L0,PDF,
Events,Party Setup (Tables & Chairs),,L1,L0,L1 -> L0,PDF,
Events,Tent & Canopy Setup,,L2,L0,L2 -> L0,PDF,
Events,Event Service Assistance (Alcohol Handling),,-,L2,CREAR,NUEVO,Cert: Smart Serve
Events,Event Serving Assistance (Food Handling),,-,L2,CREAR,NUEVO,Cert: Food Safety / SafeCheck / FoodSafe4U / ServSafe / FoodPrep / Canadian Food Safety Training
